173;10925;Medizinische H Hannover (U);1
174;10930;Tierärztliche H Hannover (U);1
176;60334;BSP Business and Law School - Hochschule für Management und Recht Berlin in Berlin (Priv. FH);6
177;61011;Hochschule für Gesundheit Bochum (FH);6
178;60912;Hochschule Weserbergland (HSW), Hameln (Priv. FH);6
179;60520;IU Internationale Hochschule Erfurt in Bremen (Priv. FH) ;6
180;10115;U Hohenheim;1
181;10130;U Mannheim;1
182;10145;U Ulm;1
183;10170;Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik (Priv. U);1
184;10355;Psychologische Hochschule Berlin (Priv. U);1
185;61365;Fachhochschule Dresden (Priv. FH);6
187;60647;Brand University Hamburg (Priv. FH);6
188;60650;MSH Medical School Hamburg (Priv. FH);6
189;10360;Bard College Berlin, A Liberal Arts University (Priv. U);1
191;60965;Leibniz - Fachhochschule Hannover (Priv. FH);6
192;60363;VICTORIA - Internationale Hochschule Berlin in Berlin (Priv. FH);6
194;60163;Internationale Hochschule Liebenzell (Kirchl. FH);6
195;61043;Fliedner Fachhochschule Düsseldorf (Priv. FH);6
196;10630;KLU Kühne Logistics University (Priv. U);1
197;60175;Hochschule der Wirtschaft für Management (HdWM) Mannheim (Priv. FH);6
199;60340;Medical School Berlin, H für Gesundheit und Medizin (Priv. FH);6
200;40710;Theol. Fakultät Fulda (Kirchl.-Theol. H);4
202;40705;Phil.-Theol. H Frankfurt a.M. (Kirchl.-Theol. H);4
203;41020;Theol. Fakultät Paderborn (Kirchl.-Theol. H);4
204;41105;Theol. Fakultät Trier (Kirchl.-Theol. H);4
205;41110;Vinzenz Pallotti University Vallendar (Kirchl.-Theol. H);4
206;41025;Kölner H für Katholische Theologie (Kirchl.-Theol. H);4
208;41015;Phil.-Theol. H Münster (Kirchl.-Theol. H);4
210;60267;SRH Wilhelm Löhe Hochschule, Fürth (Priv. FH);6
215;60178;Hochschule Fresenius Heidelberg (Priv. FH);6
217;40210;H für Philosophie München (Kirchl.-Theol. H);4
220;60728;Hochschule Geisenheim University (FH);6
221;60259;HDBW Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften (Priv. FH);6
222;40717;Theologische H Ewersbach in Dietzhölztal (Priv.-Theol. H);4
224;60361;Hochschule für angewandte Pädagogik Berlin (Priv. FH);6
227;41035;Kirchliche Hochschule Wuppertal (Kirchl.-Theol. H);4
228;61059;IST-Hochschule für Management Düsseldorf (Priv. FH);6
229;60364;Berlin International University of Applied Sciences (Priv. FH);6
230;10175;H für jüdische Studien Heidelberg (Kirchl. U);1
232;40715;Luth.-Theologische H Oberursel (Kirchl.-Theol. H) ;4
235;41405;Theol. H Friedensau (Kirchl.-Theol. H);4
236;60930;FH für Interkulturelle Theologie Hermannsburg (Priv. FH);6
238;60180;VWA-Hochschule für berufsbegleitendes Studium Stuttgart (Priv. FH);6
241;60642;Northern Business School Hamburg (Priv. FH);6
242;10420;Medizinische Hochschule Brandenburg in Neuruppin (Priv. U);1
243;51040;Alanus H Alfter (Priv. Kunst-H);5
244;61055;praxisHochschule Köln (Priv. FH);6
249;51320;Palucca Hochschule für Tanz Dresden (Kunst-H);5
250;50610;H für Musik und Theater Hamburg (Kunst-H);5
251;50310;Weißensee Kunsthochschule Berlin (Kunst-H);5
252;50315;H für Musik Berlin (Kunst-H);5
253;50910;Hochschule für Musik, Theater und Medien Hannover (Kunst-H);5
254;50320;H für Schauspielkunst Berlin (Kunst-H);5
255;10425;Filmuniversität Babelsberg;1
