HochschuleErsteinschreibung;Sortierschlüssel;Name;Gültig ab;Gültig bis;
1060;;Bucerius Law School Hamburg (Priv. U);20171;99999;
1080;;U Bochum;20171;99999;
1090;;U Bonn;20171;99999;
1100;;U Düsseldorf;20171;99999;
1110;;U Köln;20171;99999;
1120;;U Münster;20171;99999;
1130;;TU Dortmund;20192;99999;
1140;;U Bielefeld;20171;99999;
1150;;Deutsche Sporthochschule Köln (U);20171;99999;
1160;;U Frankfurt a.M.;20171;99999;
1170;;U Gießen;20171;99999;
1180;;U Marburg;20171;99999;
1190;;Wissenschaftliche H für Unternehmensführung, Vallendar (Priv. U);20171;99999;
1200;;U Trier;20171;99999;
1210;;Rheinland-Pfälzische Technische Universität in Kaiserslautern;20231;99999;
1211;;Rheinland-Pfälzische Technische Universität in Landau;20231;99999;
1221;;U Mainz in Mainz;20171;99999;
1222;;U Mainz in Germersheim;20171;99999;
1230;;Deutsche Universität für Verwaltungswissenschaften Speyer;20171;99999;
1240;;U Freiburg i.Br.;20171;99999;
1250;;U Heidelberg in Heidelberg;20171;99999;
1252;;U Heidelberg in Mannheim;20171;99999;
1260;;U Konstanz;20171;99999;
1270;;U Tübingen;20171;99999;
1280;;Wissenschaftliche H Bierbronnen (Priv. U);20171;99999;
1291;;Universität Koblenz;20231;99999;
1292;;U Koblenz-Landau in Landau;20171;99999;
1311;;U Erlangen-Nürnberg in Erlangen;20171;99999;
1312;;U Erlangen-Nürnberg in Nürnberg;20171;99999;
1320;;U München;20171;99999;
1322;;U München in München;20171;99999;
1323;;U München im Landkreis München;20171;99999;
1330;;U Würzburg;20171;99999;
1340;;U Regensburg;20171;99999;
1350;;U Augsburg;20171;99999;
1360;;U des Saarlandes Saarbrücken in Saarbrücken;20171;99999;
1380;;FU Berlin;20171;99999;
1410;;Allensbach Hochschule Konstanz (Priv. FH);20171;99999;
1430;;TU Braunschweig;20171;99999;
1440;;TU Clausthal;20171;99999;
1450;;U Hannover;20171;99999;
1460;;Zeppelin Universität Friedrichshafen (Priv. U);20171;99999;
1470;;DIU-Dresden International University (Priv. U);20171;99999;
1480;;TH Aachen (U);20171;99999;
1490;;Universität Witten-Herdecke (Priv. U);20171;99999;
1500;;H für Finanzwirtschaft & Management Bonn (Priv. FH);20201;99999;
1510;;CVJM-Hochschule Kassel (Priv. FH);20171;99999;
1520;;International Psychoanalytic University Berlin (Priv. U);20171;99999;
1530;;TU Darmstadt;20171;99999;
1541;;EBS U für Wirtschaft und Recht in Oestrich-Winkel (Priv. U);20171;99999;
1542;;EBS U für Wirtschaft und Recht in Wiesbaden (Priv. U);20171;99999;
1550;;Evangelische Hochschule Tabor in Marburg (Priv.-Theol. H);20171;99999;
1561;;Media University of Applied Sciences Berlin, Campus Berlin (Priv. FH);20242;99999;
1562;;Media University of Applied Sciences Berlin, Campus Köln (Priv. FH);20242;99999;
1563;;Media University of Applied Sciences Berlin, Campus Frankfurt (Priv. FH);20242;99999;
1570;;Fachhochschule für Sport und Management Potsdam (Priv. FH);20171;99999;
1580;;Karlsruher Institut für Technologie (KIT) - Bereich Hochschule (U);20171;99999;
1590;;U Stuttgart;20171;99999;
1600;;Quadriga Hochschule Berlin (Priv. FH);20171;99999;
1610;;DEKRA Hochschule für Medien Berlin (Priv. FH);20171;99999;
1630;;TU München;20171;99999;
1631;;TU München in München;20171;99999;
1632;;TU München in Weihenstephan;20171;99999;
1633;;TU München in Garching;20171;99999;
1634;;TU München in Straubing;20171;99999;
1635;;TU München in Heilbronn;20182;99999;
1660;;EBC Euro Business College Hamburg Campus Düsseldorf (Priv. FH);20171;99999;
1680;;CBS International Business School, Campus Köln (Priv. FH);20201;99999;
1681;;CBS International Business School, Campus Mainz (Priv. FH);20201;99999;
1682;;CBS International Business School, Campus Brühl (Priv. FH);20222;99999;
1683;;CBS International Business School, Campus Neuss (Priv. FH);20222;99999;
1690;;TU Berlin;20171;99999;
1700;;ESCP Europe Wirtschaftshochschule Berlin (Priv. U);20171;99999;
1710;;H für Politik München (U);20171;99999;
1730;;Medizinische H Hannover (U);20171;99999;
1740;;Tierärztliche H Hannover (U);20171;99999;
1751;;SRH Hochschule der populären Künste Berlin (Priv. FH);20171;99999;
1760;;BSP Business and Law School - Hochschule für Management und Recht Berlin in Berlin (Priv. FH);20192;99999;
1761;;BSP Business and Law School - Hochschule für Management und Recht Berlin in Hamburg (Priv. FH);20192;99999;
1770;;Hochschule für Gesundheit Bochum (FH);20171;99999;
1780;;Hochschule Weserbergland (HSW), Hameln (Priv. FH);20171;99999;
1790;;IU Internationale Hochschule Erfurt in Bremen (Priv. FH) ;20222;99999;
1800;;U Hohenheim;20171;99999;
1810;;U Mannheim;20171;99999;
1820;;U Ulm;20171;99999;
1830;;Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik (Priv. U);20171;99999;
1840;;Psychologische Hochschule Berlin (Priv. U);20171;99999;
1850;;Fachhochschule Dresden (Priv. FH);20171;99999;
1870;;Brand University Hamburg (Priv. FH);20192;99999;
1880;;MSH Medical School Hamburg (Priv. FH);20171;99999;
1890;;Bard College Berlin, A Liberal Arts University (Priv. U);20171;99999;
1900;;German open Business School - H für Wirtschaft und Verwaltung Berlin (Priv. FH);20171;99999;
1910;;Leibniz - Fachhochschule Hannover (Priv. FH);20171;99999;
1921;;VICTORIA - Internationale Hochschule Berlin in Berlin (Priv. FH);20202;99999;
1922;;VICTORIA - Internationale Hochschule Berlin in Baden Baden (Priv. FH);20202;99999;
1930;;ESMOD Berlin Internationale Kunsthochschule für Mode (Priv. Kunst-H);20171;99999;
1940;;Internationale Hochschule Liebenzell (Kirchl. FH);20171;99999;
1950;;Fliedner Fachhochschule Düsseldorf (Priv. FH);20171;99999;
1960;;KLU Kühne Logistics University (Priv. U);20171;99999;
1970;;Hochschule der Wirtschaft für Management (HdWM) Mannheim (Priv. FH);20171;99999;
1980;; Hochschule für Kunst, Design und Populäre Musik Freiburg i. Br. in Freiburg (Priv. FH) ;20172;99999;
1981;;Hochschule für Kunst, Design und Populäre Musik Freiburg i. Br. in Berlin (Priv. FH)   ;20172;99999;
1990;;Medical School Berlin, H für Gesundheit und Medizin (Priv. FH);20171;99999;
2000;;Theol. Fakultät Fulda (Kirchl.-Theol. H);20171;99999;
2020;;Phil.-Theol. H Frankfurt a.M. (Kirchl.-Theol. H);20171;99999;
2030;;Theol. Fakultät Paderborn (Kirchl.-Theol. H);20171;99999;
2040;;Theol. Fakultät Trier (Kirchl.-Theol. H);20171;99999;
2050;;Vinzenz Pallotti University Vallendar (Kirchl.-Theol. H);20221;99999;
2060;;Kölner H für Katholische Theologie (Kirchl.-Theol. H);20211;99999;
2080;;Phil.-Theol. H Münster (Kirchl.-Theol. H);20171;99999;
2100;;SRH University of Applied Sciences Heidelberg in Fürth (Priv. FH);20242;99999;
2150;;Hochschule für internationales Management Heidelberg (Priv. FH);20171;99999;
2170;;H für Philosophie München (Kirchl.-Theol. H);20171;99999;
2190;;DPFA Hochschule Sachsen in Zwickau (Priv. FH);20171;99999;
2200;;Hochschule Geisenheim University (FH);20171;99999;
2211;;HDBW Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften in München (Priv. FH);20171;99999;
2220;;Theologische H Ewersbach in Dietzhölztal (Priv.-Theol. H);20171;99999;
2240;;Hochschule für Soziale Arbeit und Pädagogik (HSAP), Berlin (Priv. FH);20241;99999;
2271;;Kirchliche Hochschule Wuppertal / Bethel in Bethel (Kirchl.-Theol. H);20182;99999;
2272;;Kirchliche Hochschule Wuppertal (Kirchl.-Theol. H);20241;99999;
2280;;IST-Hochschule für Management Düsseldorf (Priv. FH);20171;99999;
2290;;Berlin International University of Applied Sciences (Priv. FH);20181;99999;
2300;;H für jüdische Studien Heidelberg (Kirchl. U);20171;99999;
2320;;Luth.-Theologische H Oberursel (Kirchl.-Theol. H) ;20171;99999;
2350;;Theol. H Friedensau (Kirchl.-Theol. H);20171;99999;
2360;;FH für Interkulturelle Theologie Hermannsburg (Priv. FH);20171;99999;
2370;;Vitruvius-Hochschule Leipzig in Leipzig (Priv. FH);20171;99999;
2371;;Vitruvius-Hochschule Leipzig in Schwerin (Priv. FH);20171;99999;
2381;;VWA-Hochschule für berufsbegleitendes Studium Stuttgart in Stuttgart (Priv. FH);20171;99999;
2382;;VWA-Hochschule für berufsbegleitendes Studium Stuttgart in Freiburg (Priv. FH);20171;99999;
2383;;VWA-Hochschule für berufsbegleitendes Studium Stuttgart in Karlsruhe (Priv. FH);20171;99999;
2384;;VWA-Hochschule für berufsbegleitendes Studium Stuttgart in Ulm (Priv. FH);20171;99999;
2390;;Munich Institute of Media and Musical Arts, MIMA München (Priv. Kunst-H);20171;99999;
2410;;Northern Business School Hamburg (Priv. FH);20171;99999;
